"VEGOBJEKT-ID";"TYPE-ID";"VERSJON";"STARTDATO";"SLUTTDATO";"SIST MODIFISERT";"ALTERNATIV UHELLSKODE";"ALVORLIGHETSGRAD";"ANMELDELSESNUMMER";"ANTALL ALVORLIG SKADET";"ANTALL DREPTE I ULYKKEN";"ANTALL ENHETER";"ANTALL KJØREFELT";"ANTALL LETTERE SKADET";"ANTALL MEGET ALVORLIG SKADET";"BEHANDLENDE POLITIDISTRIKT";"BESKRIVELSE";"DEKKETYPE";"FARTSGRENSE";"FORSTERKET VEGOPPMERKING";"FØREFORHOLD";"GEOMETRI, PUNKT";"HISTORISK HP";"HISTORISK KILOMETERVERDI";"HISTORISK VEGKATEGORI";"HISTORISK VEGNUMMER";"HISTORISK VEGSTATUS";"KILDE FOR ULYKKEN";"KJØREFELTTYPE";"KOMMUNENR SSB";"LYSFORHOLD";"MELDINGSDATO";"MIDTDELER";"OK SSB";"OPPGITT ANTALL SKADDE";"REGISTRERING STATUS";"REGISTRERINGSDATO FOR FAGDATA";"STEDFESTINGENS NØYAKTIGHET";"STEDSBESKRIVELSE";"STEDSFORHOLD";"TEMPERATUR";"TETTSTED";"UHELL KATEGORI";"UKEDAG";"ULYKKE REGISTRERT AV";"ULYKKESDATO";"ULYKKESKLOKKESLETT";"ULYKKESKODE";"VEGBREDDE";"VEGNAVN";"VEGTYPE";"VÆRFORHOLD";"KOMMUNE";"KOMMUNENUMMER";"FYLKE";"FYLKESNUMMER";"RIKSVEGRUTE";"KONTRAKTSOMRÅDE";"VEGSYSTEMREFERANSE";"VEGKATEGORI";"VEGSTATUS";"VEGNUMMER";"STREKNING";"DELSTREKNING";"FRA METER";"TIL METER";"VEGLENKESEKVENSID";"STARTPOSISJON";"SLUTTPOSISJON";"RETNING";"SIDEPOSISJON";"GEOMETRI"
"296929170";"570";"1";"2011-07-06";"";"2018-02-25T20:37:20";"";"Lettere skadd";"";"0";"0";"4";"4";"2";"0";"7";"";"Asfalt, oljegrus";"60";"";"Tørr, bar veg";"POINT (-31719.8 6730125.5)";"18";"650";"Europaveg";"39";"Eksisterende veg";"";"Vanlig kjørefelt";"4601";"Dagslys";"";"Ja";"";"";"";"2012-03-05";"Tilnærmet";"";"Vegstrekning utenfor kryss/avkjørsel";"22";"Utenfor tettbebyggelse";"Bilulykke";"Onsdag";"";"2011-07-06";"17:00:00";"Påkjøring bakfra";"17.2";"";"Vanlig veg/gate";"God sikt, opphold";"Bergen";"4601";"Vestland";"46";"RUTE4A 2010-2019,RUTE4A 2014-2023 / 2018-2029";"1256 ELEKTRO,1211 TUNNEL,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021,9304 Bergen,1202 Stor-Bergen 2020-2021";"EV39 S78D1 m3134";"Europaveg";"Eksisterende";"39";"78";"1";"3133.511";"3133.511";"804781";"0.95726804";"0.95726804";"WITH";"";"POINT Z(-31713.67 6730119.595 19.828)"
"296929179";"570";"1";"2011-07-09";"";"2020-06-11T12:04:44";"";"Lettere skadd";"";"0";"0";"2";"7";"2";"0";"7";"";"Asfalt, oljegrus";"50";"";"Våt, bar veg";"POINT (-31452.1 6732438.2)";"18";"3080";"Europaveg";"39";"Eksisterende veg";"";"Vanlig kjørefelt";"4601";"Mørkt med vegbelysning";"";"Ja";"";"";"";"2011-09-26";"Nøyaktig";"";"4 armet kryss (X-kryss)";"15";"Utenfor tettbebyggelse";"Bilulykke";"Lørdag";"";"2011-07-09";"01:29:00";"Venstresving foran kjørende i motsatt retning";"";"";"Vanlig veg/gate";"God sikt, nedbør";"Bergen";"4601";"Vestland";"46";"RUTE4A 2010-2019,RUTE4A 2014-2023 / 2018-2029";"1256 ELEKTRO,1211 TUNNEL,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021,9304 Bergen,1202 Stor-Bergen 2020-2021";"EV39 S78D1 m726";"Europaveg";"Eksisterende";"39";"78";"1";"725.752";"725.752";"805616";"0.1662167";"0.1662167";"WITH";"";"POINT Z(-31452.273 6732436.725 11.407)"
"296929185";"570";"1";"2011-07-10";"";"2019-11-01T08:53:05";"";"Lettere skadd";"";"0";"0";"1";"2";"1";"0";"7";"";"Asfalt, oljegrus";"80";"";"Tørr, bar veg";"POINT (-31054.4 6733952.6)";"19";"13730";"Europaveg";"39";"Eksisterende veg";"";"Vanlig kjørefelt";"4601";"Dagslys";"";"Nei";"";"";"";"2012-03-01";"Tilnærmet";"";"Tunnel (primært for motorkjøretøy)";"15";"Utenfor tettbebyggelse";"Bilulykke";"Søndag";"";"2011-07-10";"14:55:00";"Enslig kjøretøy kjørte utfor på venstre side i høyrekurve";"7.2";"";"Vanlig veg/gate";"God sikt, opphold";"Bergen";"4601";"Vestland";"46";"RUTE4A 2010-2019,RUTE4A 2014-2023 / 2018-2029";"1256 ELEKTRO,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,1256 ELEKTRO,E1260 Hordaland vest 2016-2022,T1260 Hordaland vest 2016-2022,1211 Tunneler i Bergen 2016 - 2021 (test),1211 Tunnel 2016-2021,9304 Bergen,1202 Stor-Bergen 2020-2021";"EV39 S77D1 m6349";"Europaveg";"Eksisterende";"39";"77";"1";"6349.399";"6349.399";"805617";"0.78662594";"0.78662594";"WITH";"";"POINT Z(-31063.027 6733959.145 6.408)"
"296929193";"570";"1";"2011-07-12";"";"2020-08-21T12:47:29";"";"Lettere skadd";"";"0";"0";"2";"1";"1";"0";"7";"";"Asfalt, oljegrus";"60";"";"Tørr, bar veg";"POINT (-31415.4 6730821.6)";"425";"20";"Europaveg";"39";"Eksisterende veg";"";"Vanlig kjørefelt";"4601";"Dagslys";"";"Nei";"";"";"";"2012-04-24";"Unøyaktig";"";"Rundkjøring";"18";"Utenfor tettbebyggelse";"Mc ulykke";"Tirsdag";"";"2011-07-12";"13:41:00";"Kryssende kjøreretninger (uten avsvinging)";"13.2";"";"Vanlig veg/gate";"God sikt, opphold";"Bergen";"4601";"Vestland";"46";"RUTE4A 2010-2019,RUTE4A 2014-2023 / 2018-2029";"1256 ELEKTRO,1211 TUNNEL,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021,9304 Bergen,1202 Stor-Bergen 2020-2021";"EV39 S78D1 m2371 KD7 m23";"Europaveg";"Eksisterende";"39";"78";"1";"2370.511";"2370.511";"804883";"0.30891658";"0.30891658";"WITH";"";"POINT Z(-31415.653 6730821.523 28.407)"
"296929201";"570";"1";"2011-07-16";"";"2019-10-23T14:25:07";"";"Lettere skadd";"";"0";"0";"1";"2";"2";"0";"7";"";"Asfalt, oljegrus";"60";"";"Tørr, bar veg";"POINT (-30290.7 6722533.4)";"16";"5590";"Europaveg";"39";"Eksisterende veg";"";"Vanlig kjørefelt";"4601";"Mørkt med vegbelysning";"";"Nei";"";"";"";"2011-09-01";"Tilnærmet";"";"3-armet kryss (T-kryss, Y-kryss)";"12";"Utenfor tettbebyggelse";"Bilulykke";"Lørdag";"";"2011-07-16";"03:14:00";"Uhell med uklart forløp hvor enslig kjøretøy kjørte utfor vegen";"9.2";"";"Vanlig veg/gate";"God sikt, opphold";"Bergen";"4601";"Vestland";"46";"RUTE4A 2010-2019,RUTE4A 2014-2023 / 2018-2029";"1256 ELEKTRO,1211 TUNNEL,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021,9304 Bergen,1202 Stor-Bergen 2020-2021";"EV39 S79D1 m3786";"Europaveg";"Eksisterende";"39";"79";"1";"3785.933";"3785.933";"804775";"0.39291348";"0.39291348";"WITH";"";"POINT Z(-30290.353 6722526.241 118.209)"
"296929220";"570";"1";"2011-07-25";"";"2020-06-11T12:04:44";"";"Lettere skadd";"";"0";"0";"1";"2";"1";"0";"7";"";"Asfalt, oljegrus";"80";"";"Våt, bar veg";"POINT (-31407.4 6733478.2)";"19";"370";"Europaveg";"39";"Eksisterende veg";"";"";"4601";"Dagslys";"";"Ja";"";"";"";"2011-09-30";"Tilnærmet";"";"Vegstrekning utenfor kryss/avkjørsel";"15";"Utenfor tettbebyggelse";"Bilulykke";"Mandag";"";"2011-07-25";"14:08:00";"Enslig kjøretøy kjørte utfor på venstre side på rett vegstrekning";"5.1";"";"Vanlig veg/gate";"God sikt, nedbør";"Bergen";"4601";"Vestland";"46";"RUTE4A 2010-2019,RUTE4A 2014-2023 / 2018-2029";"1256 ELEKTRO,1211 TUNNEL,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021,9304 Bergen,1202 Stor-Bergen 2020-2021";"EV39 S77D1 m7752";"Europaveg";"Eksisterende";"39";"77";"1";"7752.32";"7752.32";"805616";"0.2788812";"0.2788812";"WITH";"";"POINT Z(-31405.75 6733473.439 13.118)"
"296929223";"570";"1";"2011-07-25";"";"2020-06-11T12:04:44";"";"Lettere skadd";"";"0";"0";"1";"3";"1";"0";"7";"";"Asfalt, oljegrus";"50";"";"Våt, bar veg";"POINT (-31425.6 6732185.4)";"18";"2820";"Europaveg";"39";"Eksisterende veg";"";"";"4601";"Mørkt med vegbelysning";"";"Ja";"";"";"";"2012-02-29";"Tilnærmet";"";"Vegstrekning utenfor kryss/avkjørsel";"";"Utenfor tettbebyggelse";"Bilulykke";"Mandag";"";"2011-07-25";"23:11:00";"Enslig kjøretøy kjørte utfor på høyre side i høyrekurve";"";"";"";"God sikt, nedbør";"Bergen";"4601";"Vestland";"46";"RUTE4A 2010-2019,RUTE4A 2014-2023 / 2018-2029";"1256 ELEKTRO,1211 TUNNEL,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021,9304 Bergen,1202 Stor-Bergen 2020-2021";"EV39 S78D1 m986";"Europaveg";"Eksisterende";"39";"78";"1";"985.987";"985.987";"805616";"0.13966084";"0.13966084";"WITH";"";"POINT Z(-31416.302 6732183.254 16.865)"
"298873180";"570";"1";"2011-08-02";"";"2019-10-23T14:25:07";"";"Lettere skadd";"";"0";"0";"1";"2";"1";"0";"7";"";"Asfalt, oljegrus";"80";"";"Tørr, bar veg";"POINT (-32121.2 6728421.9)";"17";"3485";"Europaveg";"39";"Eksisterende veg";"";"Vanlig kjørefelt";"4601";"Dagslys";"";"Ja";"";"";"";"2012-02-20";"Nøyaktig";"";"Vegstrekning utenfor kryss/avkjørsel";"19";"Utenfor tettbebyggelse";"Bilulykke";"Tirsdag";"";"2011-08-02";"14:48:00";"Enslig kjøretøy kjørte utfor på høyre side på rett vegstrekning";"20.1";"";"Vanlig veg/gate";"God sikt, opphold";"Bergen";"4601";"Vestland";"46";"RUTE4A 2010-2019,RUTE4A 2014-2023 / 2018-2029";"1256 ELEKTRO,1211 TUNNEL,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021,9304 Bergen,1202 Stor-Bergen 2020-2021";"EV39 S78D1 m4926";"Europaveg";"Eksisterende";"39";"78";"1";"4925.798";"4925.798";"804778";"0.59876389";"0.59876389";"WITH";"";"POINT Z(-32108.531 6728417.884 5.776)"
"298873206";"570";"1";"2011-08-13";"";"2019-11-01T08:53:05";"";"Lettere skadd";"";"0";"0";"3";"2";"3";"0";"7";"";"Asfalt, oljegrus";"80";"";"Tørr, bar veg";"POINT (-32288.3 6737459.9)";"19";"4965";"Europaveg";"39";"Eksisterende veg";"";"Vanlig kjørefelt";"4601";"Dagslys";"";"Ja";"";"";"";"2011-10-19";"Nøyaktig";"";"Vegstrekning utenfor kryss/avkjørsel";"18";"Utenfor tettbebyggelse";"Bilulykke";"Lørdag";"";"2011-08-13";"11:43:00";"Påkjøring bakfra";"";"";"Vanlig veg/gate";"God sikt, opphold";"Bergen";"4601";"Vestland";"46";"RUTE4A 2010-2019,RUTE4A 2014-2023 / 2018-2029";"1256 ELEKTRO,1211 TUNNEL,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021,9304 Bergen,1202 Stor-Bergen 2020-2021";"EV39 S77D1 m2380";"Europaveg";"Eksisterende";"39";"77";"1";"2380.429";"2380.429";"805616";"0.75646429";"0.75646429";"WITH";"";"POINT Z(-32294.633 6737457.246 36.525)"
"298873214";"570";"1";"2011-08-13";"";"2019-11-01T08:53:05";"";"Lettere skadd";"";"0";"0";"2";"3";"3";"0";"7";"";"Asfalt, oljegrus";"50";"";"Tørr, bar veg";"POINT (-31452.2 6731877)";"18";"2510";"Europaveg";"39";"Eksisterende veg";"";"Vanlig kjørefelt";"4601";"Dagslys";"";"Nei";"";"";"";"2012-03-06";"Tilnærmet";"";"Annet kryss";"22";"Innenfor tettbebyggelse";"Bilulykke";"Lørdag";"";"2011-08-13";"16:48:00";"Påkjøring bakfra";"18.0";"";"Vanlig veg/gate";"God sikt, opphold";"Bergen";"4601";"Vestland";"46";"RUTE4A 2010-2019,RUTE4A 2014-2023 / 2018-2029";"1256 ELEKTRO,1211 TUNNEL,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021,9304 Bergen,1202 Stor-Bergen 2020-2021";"EV39 S78D1 m1296";"Europaveg";"Eksisterende";"39";"78";"1";"1296.113";"1296.113";"805616";"0.10793007";"0.10793007";"WITH";"";"POINT Z(-31451.153 6731877.196 19.007)"
